sessionid,treatmentnumber,contracts,period,message,subject,group,role,timechatchatmessage,N,reverse
091023_1009,1,contracts,30,if we both choose the same high number we'll both get more,8,1,2,49,2,0
091023_1009,1,contracts,30,thats what i was going to say,2,1,1,42,2,0
091023_1009,1,contracts,30,100 each,2,1,1,38,2,0
091023_1009,1,contracts,30,so we could both choose 100,8,1,2,34,2,0
091023_1009,1,contracts,30,yeah,8,1,2,33,2,0
091023_1009,1,contracts,30,ok,2,1,1,23,2,0
091023_1009,1,contracts,31,this works...!,8,1,2,53,2,0
091023_1009,1,contracts,31,keep doing this?,8,1,2,33,2,0
091023_1009,1,contracts,31,so we do this 20 times over..?!,2,1,1,31,2,0
091023_1009,1,contracts,31,yeah,8,1,2,28,2,0
091023_1009,1,contracts,31,ok,2,1,1,26,2,0
091023_1009,1,contracts,35,sorry!,2,1,1,59,2,0
091023_1009,1,contracts,35,sneaky!,8,1,2,56,2,0
091023_1009,1,contracts,35,just felt like we should be bidding or something....!,2,1,1,46,2,0
091023_1009,1,contracts,35,"ill do 100 next time if you want to put 99, then we're fair...",2,1,1,24,2,0
091023_1009,1,contracts,35,but everyone else seems to be typing away!,2,1,1,16,2,0
091023_1009,1,contracts,35,"ok, yeah that would work, lol",8,1,2,16,2,0
091023_1009,1,contracts,36,"haha, thank you",8,1,2,57,2,0
091023_1009,1,contracts,36,its fine!,2,1,1,51,2,0
091023_1009,1,contracts,36,think we should try do this properly,2,1,1,43,2,0
091023_1009,1,contracts,36,obviously we still want money,2,1,1,38,2,0
091023_1009,1,contracts,36,yeah,8,1,2,35,2,0
091023_1009,1,contracts,36,what's properly then?,8,1,2,31,2,0
091023_1009,1,contracts,36,"shall we say, lowest bid at 70?",2,1,1,28,2,0
091023_1009,1,contracts,36,"ok, otherwise it gets ridiculous!",8,1,2,20,2,0
091023_1009,1,contracts,36,so from 70-100 we play as part 1,2,1,1,10,2,0
091023_1009,1,contracts,36,ok,8,1,2,7,2,0
091023_1009,1,contracts,36,ooo,2,1,1,2,2,0
091023_1009,1,contracts,37,do you want to raise to 80?,2,1,1,39,2,0
091023_1009,1,contracts,37,"could do, we'd get more that way",8,1,2,28,2,0
091023_1009,1,contracts,37,ok...,2,1,1,4,2,0
091023_1009,1,contracts,38,haha,8,1,2,53,2,0
091023_1009,1,contracts,38,"haha, we should have just done that for 100!",2,1,1,52,2,0
091023_1009,1,contracts,38,"i think we're both abit too honest, felt like i could go 79 but then i felt mean",2,1,1,20,2,0
091023_1009,1,contracts,38,!,2,1,1,14,2,0
091023_1009,1,contracts,38,yeah!,8,1,2,9,2,0
091023_1009,1,contracts,39,haha,2,1,1,57,2,0
091023_1009,1,contracts,39,ahh this is funny,8,1,2,42,2,0
091023_1009,1,contracts,39,can we do one more 100/100 then after that anything goes?,2,1,1,40,2,0
091023_1009,1,contracts,39,ok,8,1,2,37,2,0
091023_1009,1,contracts,40,"haha, was tempted to say 99",8,1,2,56,2,0
091023_1009,1,contracts,40,i know,2,1,1,52,2,0
091023_1009,1,contracts,40,"yeah, we're too honest",8,1,2,44,2,0
091023_1009,1,contracts,40,but its abit awkward to then afterwards be ike 'erm sorry about that....',2,1,1,37,2,0
091023_1009,1,contracts,40,"yeah, it is",8,1,2,21,2,0
091023_1009,1,contracts,40,i dont think in the actual world people have to face others like this!,2,1,1,14,2,0
091023_1009,1,contracts,41,are we having a lower limit? otherwise we'll get down to 4 again!,8,1,2,39,2,0
091023_1009,1,contracts,41,"i have no idea, i just didnt know what to do!Â",2,1,1,27,2,0
091023_1009,1,contracts,41,haha,8,1,2,22,2,0
091023_1009,1,contracts,41,i dont want to go too low,2,1,1,20,2,0
091023_1009,1,contracts,41,no,8,1,2,17,2,0
091023_1009,1,contracts,41,no lower than 70?,8,1,2,14,2,0
091023_1009,1,contracts,41,if it gets below 50 and you win then its worse than half 100,2,1,1,5,2,0
091023_1009,1,contracts,41,ok,2,1,1,1,2,0
091023_1009,1,contracts,42,we'll just end up both at 70 though?!,8,1,2,28,2,0
091023_1009,1,contracts,42,i know....,2,1,1,11,2,0
091023_1009,1,contracts,43,haha,8,1,2,35,2,0
091023_1009,1,contracts,43,im annoyed!,2,1,1,29,2,0
091023_1009,1,contracts,43,we'll end up getting lower and lower,8,1,2,26,2,0
091023_1009,1,contracts,43,sorry!,8,1,2,25,2,0
091023_1009,1,contracts,43,i felt bad putting 68,2,1,1,23,2,0
091023_1009,1,contracts,43,haha its fine.. its probably good,2,1,1,14,2,0
091023_1009,1,contracts,43,lower than 50's not worht it,8,1,2,1,2,0
091023_1009,1,contracts,44,"it will just decrease, so when we hit rock bottom i votw we go back to 100/100",2,1,1,40,2,0
091023_1009,1,contracts,44,"ahh, this is quite hard",8,1,2,40,2,0
091023_1009,1,contracts,44,and work downwards again?,2,1,1,34,2,0
091023_1009,1,contracts,44,ok,8,1,2,34,2,0
091023_1009,1,contracts,44,yeah,8,1,2,31,2,0
091023_1009,1,contracts,45,100/100?,2,1,1,46,2,0
091023_1009,1,contracts,45,4 goes left then,8,1,2,46,2,0
091023_1009,1,contracts,45,yeah,8,1,2,43,2,0
091023_1009,1,contracts,46,oooo,8,1,2,59,2,0
091023_1009,1,contracts,46,haha!,2,1,1,56,2,0
091023_1009,1,contracts,46,ill actually do 100 this time,2,1,1,51,2,0
091023_1009,1,contracts,46,promise,2,1,1,47,2,0
091023_1009,1,contracts,46,haha,8,1,2,47,2,0
091023_1009,1,contracts,46,i thought you'd go down aswell!,2,1,1,33,2,0
091023_1009,1,contracts,46,i was goign to put 99,8,1,2,22,2,0
091023_1009,1,contracts,46,which is why i out 93,2,1,1,11,2,0
091023_1009,1,contracts,46,*put,2,1,1,8,2,0
091023_1009,1,contracts,47,"haha, sorry",8,1,2,56,2,0
091023_1009,1,contracts,47,"no its fine, i expected you to",2,1,1,39,2,0
091023_1009,1,contracts,47,anything goes....,2,1,1,31,2,0
091023_1009,1,contracts,49,last one...,2,1,1,58,2,0
091023_1009,1,contracts,49,maybe more,8,1,2,37,2,0
091023_1009,1,contracts,49,o!,2,1,1,29,2,0
091023_1009,1,contracts,49,dice,8,1,2,21,2,0
091023_1009,1,contracts,49,o yeah that dice,2,1,1,18,2,0
091023_1009,1,contracts,50,not impressed,2,1,1,58,2,0
091023_1009,1,contracts,50,haha,2,1,1,56,2,0
091023_1009,1,contracts,50,"haha, sorry",8,1,2,52,2,0
091023_1009,1,contracts,50,"so we've hit 50 now, shall we go back up?",8,1,2,45,2,0
091023_1009,1,contracts,50,i was going to do 50 but then i thought i might as well do 100/100,2,1,1,38,2,0
091023_1009,1,contracts,50,yeah,2,1,1,37,2,0
091023_1009,1,contracts,50,so 100/100?,8,1,2,21,2,0
091023_1009,1,contracts,50,no upo,2,1,1,1,2,0
091023_1009,1,contracts,51,haha,8,1,2,59,2,0
091023_1009,1,contracts,51,,8,1,2,58,2,0
091023_1009,1,contracts,51,interesting,2,1,1,57,2,0
091023_1009,1,contracts,51,we should have just done 100/100 in that case,2,1,1,40,2,0
091023_1009,1,contracts,51,o well!,2,1,1,34,2,0
091023_1009,1,contracts,51,"yeah, shall we just do that since these are extra goes?",8,1,2,27,2,0
091023_1009,1,contracts,51,yeah,2,1,1,22,2,0
091023_1009,1,contracts,51,i promise ill actually do it,2,1,1,16,2,0
091023_1009,1,contracts,51,"yeah, i will",8,1,2,11,2,0
091023_1009,1,contracts,51,deal,2,1,1,7,2,0
091023_1009,1,contracts,52,again?,2,1,1,54,2,0
091023_1009,1,contracts,52,yep,8,1,2,51,2,0
091023_1009,1,contracts,53,god this dice is going to keep us here all day!,2,1,1,48,2,0
091023_1009,1,contracts,53,haha,8,1,2,44,2,0
091023_1009,1,contracts,53,lets mix it up again now we've got some money,2,1,1,21,2,0
091023_1009,1,contracts,53,ok,8,1,2,18,2,0
091023_1009,1,contracts,53,anything goes....?,2,1,1,16,2,0
091023_1009,1,contracts,53,yeah,8,1,2,13,2,0
091023_1009,1,contracts,30,hi okay,9,2,2,59,2,0
091023_1009,1,contracts,30,hi,3,2,1,57,2,0
091023_1009,1,contracts,30,to bew quick,9,2,2,56,2,0
091023_1009,1,contracts,30,we should both choose 100 every time,9,2,2,52,2,0
091023_1009,1,contracts,30,to make as much money as possibvle,9,2,2,48,2,0
091023_1009,1,contracts,30,split it 50/50?,9,2,2,40,2,0
091023_1009,1,contracts,30,cause if you choose 99 we will end up fighting,9,2,2,33,2,0
091023_1009,1,contracts,30,"surely, we should take it in turns putting 99 and 100?",3,2,1,32,2,0
091023_1009,1,contracts,30,so choose 100 each time?,9,2,2,29,2,0
091023_1009,1,contracts,30,that would make more profit?,3,2,1,25,2,0
091023_1009,1,contracts,30,oh okay,9,2,2,25,2,0
091023_1009,1,contracts,30,alright you go first,9,2,2,22,2,0
091023_1009,1,contracts,30,choose 99,9,2,2,15,2,0
091023_1009,1,contracts,30,ok,3,2,1,12,2,0
091023_1009,1,contracts,30,and then I will afterwards,9,2,2,11,2,0
091023_1009,1,contracts,30,deal?,9,2,2,4,2,0
091023_1009,1,contracts,30,when i put 99 you put 100,3,2,1,2,2,0
091023_1009,1,contracts,30,deal,3,2,1,1,2,0
091023_1009,1,contracts,31,oh ,9,2,2,57,2,0
091023_1009,1,contracts,31,lol okay,9,2,2,53,2,0
091023_1009,1,contracts,31,didn't know i'd get to talk to you again,3,2,1,49,2,0
091023_1009,1,contracts,31,you this time is my turn I will choose 99 you go for 100,9,2,2,45,2,0
091023_1009,1,contracts,31,you put 99 this time,3,2,1,43,2,0
091023_1009,1,contracts,31,yeah same haha,9,2,2,41,2,0
091023_1009,1,contracts,31,oh well your plan was good so we'll just keep doing that,9,2,2,34,2,0
091023_1009,1,contracts,31,ok cool,3,2,1,28,2,0
091023_1009,1,contracts,31,<:,9,2,2,25,2,0
091023_1009,1,contracts,31,lol this is weird ,9,2,2,18,2,0
091023_1009,1,contracts,31,i think that works out as more money than 50/50?,3,2,1,16,2,0
091023_1009,1,contracts,31,yeah,9,2,2,13,2,0
091023_1009,1,contracts,31,should do,9,2,2,11,2,0
091023_1009,1,contracts,31,good,3,2,1,8,2,0
091023_1009,1,contracts,31,:),3,2,1,2,2,0
091023_1009,1,contracts,32,nice one,9,2,2,60,2,0
091023_1009,1,contracts,32,hello again,3,2,1,55,2,0
091023_1009,1,contracts,32,this way we will both make as much as possible,9,2,2,53,2,0
091023_1009,1,contracts,32,always good,3,2,1,32,2,0
091023_1009,1,contracts,32,"if tehy let us talk to eachother so much, isn;t it obvious we will come up with ",9,2,2,20,2,0
091023_1009,1,contracts,32,lol,9,2,2,19,2,0
091023_1009,1,contracts,32,a plan,9,2,2,10,2,0
091023_1009,1,contracts,32,yeh i know,3,2,1,7,2,0
091023_1009,1,contracts,32,cut off my sentence then,9,2,2,6,2,0
091023_1009,1,contracts,33,well this is a little awkward....,3,2,1,53,2,0
091023_1009,1,contracts,33,lol so funny the first time the chat box came up and everyone started typing sup,9,2,2,45,2,0
091023_1009,1,contracts,33,like quick make a plan!!,9,2,2,41,2,0
091023_1009,1,contracts,33,"haha i know, trying to outwit everyone",3,2,1,31,2,0
091023_1009,1,contracts,33,yeah lol we are sorted plan- wise so nothing to really go over,9,2,2,31,2,0
091023_1009,1,contracts,33,i'm 100 this time right?,3,2,1,19,2,0
091023_1009,1,contracts,33,yes,9,2,2,8,2,0
091023_1009,1,contracts,33,lol,9,2,2,6,2,0
091023_1009,1,contracts,33,:),9,2,2,4,2,0
091023_1009,1,contracts,34,lol I hope we make a load of cash,9,2,2,55,2,0
091023_1009,1,contracts,34,me too!,3,2,1,49,2,0
091023_1009,1,contracts,34,how are you today?,3,2,1,44,2,0
091023_1009,1,contracts,34,they're probably hoping with this that one of us will fool the other and that ,9,2,2,35,2,0
091023_1009,1,contracts,34,we will end up arguing in this chat box,9,2,2,30,2,0
091023_1009,1,contracts,34,but no lol,9,2,2,28,2,0
091023_1009,1,contracts,34,,9,2,2,27,2,0
091023_1009,1,contracts,34,I'm 100 this time btw,9,2,2,24,2,0
091023_1009,1,contracts,34,you're 99,9,2,2,22,2,0
091023_1009,1,contracts,34,i know,3,2,1,20,2,0
091023_1009,1,contracts,34,are you going to fool me?,3,2,1,8,2,0
091023_1009,1,contracts,34,no,9,2,2,6,2,0
091023_1009,1,contracts,34,lol,9,2,2,4,2,0
091023_1009,1,contracts,34,good :),3,2,1,2,2,0
091023_1009,1,contracts,35,told you rofl,9,2,2,58,2,0
091023_1009,1,contracts,35,haha good.,3,2,1,43,2,0
091023_1009,1,contracts,35,and im good thanks. Im going home today for the weekend so im excitted,9,2,2,41,2,0
091023_1009,1,contracts,35,you up to much?,9,2,2,37,2,0
091023_1009,1,contracts,35,but you were the one who brought it up,3,2,1,34,2,0
091023_1009,1,contracts,35,lol this is weird,9,2,2,34,2,0
091023_1009,1,contracts,35,I knowww haha,9,2,2,25,2,0
091023_1009,1,contracts,35,"i have a seminar, and then back to bed",3,2,1,21,2,0
091023_1009,1,contracts,35,what a plan,9,2,2,9,2,0
091023_1009,1,contracts,35,uni life,3,2,1,4,2,0
091023_1009,1,contracts,35,innit,9,2,2,0,2,0
091023_1009,1,contracts,36,i totally forgot which one i was,3,2,1,56,2,0
091023_1009,1,contracts,36,so i went 100,3,2,1,48,2,0
091023_1009,1,contracts,36,lmao this time you're 99!,9,2,2,48,2,0
091023_1009,1,contracts,36,it was right I was 99 that time,9,2,2,41,2,0
091023_1009,1,contracts,36,did you go to rococos last night?,9,2,2,21,2,0
091023_1009,1,contracts,36,"yep, i so tired!",3,2,1,9,2,0
091023_1009,1,contracts,36,did you?,3,2,1,2,2,0
091023_1009,1,contracts,37,Hey. Na I didn;t go last night,9,2,2,56,2,0
091023_1009,1,contracts,37,I wish I had apparently it was really good,9,2,2,50,2,0
091023_1009,1,contracts,37,omg I just thought. At the end they will probably be reading our converstaion lm,9,2,2,40,2,0
091023_1009,1,contracts,37,having a chat in the xperiment,9,2,2,35,2,0
091023_1009,1,contracts,37,"i was pretty good, we had a party before hand as well",3,2,1,32,2,0
091023_1009,1,contracts,37,haha yeah i'd already thought of that,3,2,1,22,2,0
091023_1009,1,contracts,37,don;t forget im 99 this time lolol,9,2,2,16,2,0
091023_1009,1,contracts,37,but they'll like us being friendly haha,3,2,1,11,2,0
091023_1009,1,contracts,37,I know tehy are probably reading it in another room ,9,2,2,8,2,0
091023_1009,1,contracts,37,right now,9,2,2,7,2,0
091023_1009,1,contracts,37,hey guys,3,2,1,1,2,0
091023_1009,1,contracts,38,"well we have our stratgey, what else is there",3,2,1,46,2,0
091023_1009,1,contracts,38,?,3,2,1,44,2,0
091023_1009,1,contracts,38,they will probably be gutted if we're friendly though,9,2,2,41,2,0
091023_1009,1,contracts,38,losing money innit,9,2,2,36,2,0
091023_1009,1,contracts,38,yeah,3,2,1,29,2,0
091023_1009,1,contracts,38,yeah exactly. Mayswell spend the minute this way haha,9,2,2,21,2,0
091023_1009,1,contracts,38,"yep, nothing better to do :P",3,2,1,7,2,0
091023_1009,1,contracts,38,im 100 this time,9,2,2,6,2,0
091023_1009,1,contracts,39,do always remind me which one i am,3,2,1,53,2,0
091023_1009,1,contracts,39,they all merge into 1,3,2,1,46,2,0
091023_1009,1,contracts,39,okay um this time im 99,9,2,2,44,2,0
091023_1009,1,contracts,39,yiou are 100,9,2,2,42,2,0
091023_1009,1,contracts,39,i'm 100 this time,3,2,1,40,2,0
091023_1009,1,contracts,39,haha,9,2,2,40,2,0
091023_1009,1,contracts,39,cool.,3,2,1,28,2,0
091023_1009,1,contracts,39,I know especially because we  are talking it's like umm... which one? ,9,2,2,27,2,0
091023_1009,1,contracts,39,maybe that's their game!,3,2,1,18,2,0
091023_1009,1,contracts,39,yes!,9,2,2,13,2,0
091023_1009,1,contracts,39,they think we'll forget,3,2,1,12,2,0
091023_1009,1,contracts,39,they want us to make mistakes in our plan,9,2,2,9,2,0
091023_1009,1,contracts,39,and then it will be like we've cheated on the other,3,2,1,3,2,0
091023_1009,1,contracts,40,lmao we are truly cunning,9,2,2,56,2,0
091023_1009,1,contracts,40,their plan worked. i forgot again...,3,2,1,53,2,0
091023_1009,1,contracts,40,I guess everyone will have come up with the same plan? ,9,2,2,45,2,0
091023_1009,1,contracts,40,"I tyhink everyone is typing like, general chat to eachother like us",9,2,2,37,2,0
091023_1009,1,contracts,40,otherwsie what would they be typing,9,2,2,32,2,0
091023_1009,1,contracts,40,im 99 this time,9,2,2,22,2,0
091023_1009,1,contracts,40,"i know, mega business strategy maybe",3,2,1,20,2,0
091023_1009,1,contracts,40,i'm 99?,3,2,1,13,2,0
091023_1009,1,contracts,40,no,9,2,2,13,2,0
091023_1009,1,contracts,40,im 100,9,2,2,11,2,0
091023_1009,1,contracts,40,sorry,9,2,2,10,2,0
091023_1009,1,contracts,40,you are 99 this time,9,2,2,5,2,0
091023_1009,1,contracts,40,that's ok :),3,2,1,4,2,0
091023_1009,1,contracts,41,you're 100 this time,9,2,2,58,2,0
091023_1009,1,contracts,41,yep,3,2,1,55,2,0
091023_1009,1,contracts,41,I'll put it at the beginning so we remember,9,2,2,52,2,0
091023_1009,1,contracts,41,ok haha,3,2,1,48,2,0
091023_1009,1,contracts,41,cause I do forget ,9,2,2,43,2,0
091023_1009,1,contracts,41,just check the screen before it disappears,3,2,1,38,2,0
091023_1009,1,contracts,41,what are you studying?,9,2,2,37,2,0
091023_1009,1,contracts,41,I think I am allowed to ask that,9,2,2,33,2,0
091023_1009,1,contracts,41,am I?,9,2,2,32,2,0
091023_1009,1,contracts,41,or maybe not,9,2,2,31,2,0
091023_1009,1,contracts,41,as long as you dont identify yoursel;f,9,2,2,16,2,0
091023_1009,1,contracts,41,I think,9,2,2,14,2,0
091023_1009,1,contracts,41,erm  yep,3,2,1,13,2,0
091023_1009,1,contracts,41,:/,9,2,2,12,2,0
091023_1009,1,contracts,41,just not age sex or location,3,2,1,7,2,0
091023_1009,1,contracts,42,you're 99 this time,9,2,2,58,2,0
091023_1009,1,contracts,42,lol,9,2,2,55,2,0
091023_1009,1,contracts,42,yeah :) i do biosciences how about you?,3,2,1,46,2,0
091023_1009,1,contracts,42,I'm doign Psychology,9,2,2,38,2,0
091023_1009,1,contracts,42,"oh cool, enjoy it?",3,2,1,29,2,0
091023_1009,1,contracts,42,I ebt biosciences is really hard,9,2,2,24,2,0
091023_1009,1,contracts,42,yeah I do. Although not keen on statistics or biological psychology,9,2,2,11,2,0
091023_1009,1,contracts,42,"aw, my friend says that",3,2,1,1,2,0
091023_1009,1,contracts,43,i'm 100,3,2,1,55,2,0
091023_1009,1,contracts,43,you're 100 this time lol,9,2,2,54,2,0
091023_1009,1,contracts,43,haha yesss,9,2,2,51,2,0
091023_1009,1,contracts,43,beat youuuuuuuuuuu,3,2,1,49,2,0
091023_1009,1,contracts,43,lmao,9,2,2,45,2,0
091023_1009,1,contracts,43,just trying to keep myself amused :),3,2,1,33,2,0
091023_1009,1,contracts,43,omg at the end we wont know who eachother are,9,2,2,29,2,0
091023_1009,1,contracts,43,like,9,2,2,28,2,0
091023_1009,1,contracts,43,who we are talking to,9,2,2,26,2,0
091023_1009,1,contracts,43,that is sooo weird,9,2,2,23,2,0
091023_1009,1,contracts,43,that is weird,3,2,1,21,2,0
091023_1009,1,contracts,43,we'll all be looking around,9,2,2,11,2,0
091023_1009,1,contracts,43,like whooo was it?,9,2,2,8,2,0
091023_1009,1,contracts,43,haha it will be funny,3,2,1,1,2,0
091023_1009,1,contracts,44,99!,3,2,1,59,2,0
091023_1009,1,contracts,44,you're 99,9,2,2,59,2,0
091023_1009,1,contracts,44,damn,9,2,2,55,2,0
091023_1009,1,contracts,44,yessssssssss,3,2,1,53,2,0
091023_1009,1,contracts,44,did you hear me typing too early then,9,2,2,49,2,0
091023_1009,1,contracts,44,nope,3,2,1,40,2,0
091023_1009,1,contracts,44,I was trying to beat you and typed before it started lmao,9,2,2,40,2,0
091023_1009,1,contracts,44,hahahaha,3,2,1,34,2,0
091023_1009,1,contracts,45,100,3,2,1,60,2,0
091023_1009,1,contracts,45,100,9,2,2,60,2,0
091023_1009,1,contracts,45,DAMN,9,2,2,56,2,0
091023_1009,1,contracts,45,oh i am goood.,3,2,1,51,2,0
091023_1009,1,contracts,45,you're 100,9,2,2,49,2,0
091023_1009,1,contracts,45,I meant lol,9,2,2,47,2,0
091023_1009,1,contracts,45,I will get confused otehrwsie,9,2,2,44,2,0
091023_1009,1,contracts,45,is damn offensive language?,9,2,2,38,2,0
091023_1009,1,contracts,45,oops,9,2,2,36,2,0
091023_1009,1,contracts,45,i'm not offended,3,2,1,30,2,0
091023_1009,1,contracts,45,good,9,2,2,10,2,0
091023_1009,1,contracts,45,hahaha,9,2,2,7,2,0
091023_1009,1,contracts,45,id get the boot maybe,9,2,2,4,2,0
091023_1009,1,contracts,45,people are getting less chatty,3,2,1,0,2,0
091023_1009,1,contracts,46,you're 99,9,2,2,53,2,0
091023_1009,1,contracts,46,oh i was going to let you win!,3,2,1,51,2,0
091023_1009,1,contracts,46,that was slow for you,3,2,1,42,2,0
091023_1009,1,contracts,46,I thought as much you took your time,9,2,2,40,2,0
091023_1009,1,contracts,46,I knowww. I forgot for a second what number you were,9,2,2,30,2,0
091023_1009,1,contracts,46,haha,3,2,1,16,2,0
091023_1009,1,contracts,46,people are getting less chatty aswell,9,2,2,15,2,0
091023_1009,1,contracts,46,running out of stuff to say I expect lol,9,2,2,10,2,0
091023_1009,1,contracts,46,getting bored of each other ?,3,2,1,4,2,0
091023_1009,1,contracts,47,you'ere 100,9,2,2,58,2,0
091023_1009,1,contracts,47,hahaha yep,3,2,1,53,2,0
091023_1009,1,contracts,47,you won,3,2,1,45,2,0
091023_1009,1,contracts,47,nah im not bored really but like. Cause we cant properly chat it's weird,9,2,2,44,2,0
091023_1009,1,contracts,47,"yeah, i can't wait to get up and be like who was it...",3,2,1,27,2,0
091023_1009,1,contracts,47,ydw,9,2,2,16,2,0
091023_1009,1,contracts,47,me too,9,2,2,15,2,0
091023_1009,1,contracts,48,you're 99,9,2,2,55,2,0
091023_1009,1,contracts,48,sorted,9,2,2,51,2,0
091023_1009,1,contracts,48,you are getting slower at that,3,2,1,46,2,0
091023_1009,1,contracts,48,I know just in that one,9,2,2,39,2,0
091023_1009,1,contracts,48,do you think they are enjoying our conversations?,3,2,1,31,2,0
091023_1009,1,contracts,48,I completely forgot which numbetr I was supposed to be,9,2,2,29,2,0
091023_1009,1,contracts,48,but I thought I was 99 but was worried it might have been your turn to win,9,2,2,21,2,0
091023_1009,1,contracts,48,you're 100,3,2,1,19,2,0
091023_1009,1,contracts,48,I was like omggg they will be annoyed,9,2,2,16,2,0
091023_1009,1,contracts,48,but I was right phew,9,2,2,13,2,0
091023_1009,1,contracts,48,hahaha bless,3,2,1,10,2,0
091023_1009,1,contracts,49,you're 100,9,2,2,58,2,0
091023_1009,1,contracts,49,your turn to win,3,2,1,57,2,0
091023_1009,1,contracts,49,haha that was pretty quick,9,2,2,54,2,0
091023_1009,1,contracts,49,um I reckon they probably are having a laugh reading them,9,2,2,43,2,0
091023_1009,1,contracts,49,like ... how to spend the time in the chat box,9,2,2,38,2,0
091023_1009,1,contracts,49,i wonder if some people just don't talk,3,2,1,24,2,0
091023_1009,1,contracts,49,most people seem to be typing though,9,2,2,14,2,0
091023_1009,1,contracts,49,just for time to go by innit,9,2,2,10,2,0
091023_1009,1,contracts,49,it would be well boring otehrwise,9,2,2,4,2,0
091023_1009,1,contracts,50,ohh it's a gamble now,9,2,2,56,2,0
091023_1009,1,contracts,50,your turn to win ofc,9,2,2,53,2,0
091023_1009,1,contracts,50,but it may end there! lol,9,2,2,50,2,0
091023_1009,1,contracts,50,"ooh, exciting",3,2,1,48,2,0
091023_1009,1,contracts,50,"ooh, do you want to both do 100?",3,2,1,40,2,0
091023_1009,1,contracts,50,so this time im 100,9,2,2,38,2,0
091023_1009,1,contracts,50,have to remember,9,2,2,36,2,0
091023_1009,1,contracts,50,then it will be equal from now on?,3,2,1,26,2,0
091023_1009,1,contracts,50,they were probably hoping no one would follow through with their plans and that,9,2,2,24,2,0
091023_1009,1,contracts,50,but we have lol,9,2,2,22,2,0
091023_1009,1,contracts,50,what ,9,2,2,16,2,0
091023_1009,1,contracts,50,oh okay,9,2,2,10,2,0
091023_1009,1,contracts,50,sure,9,2,2,9,2,0
091023_1009,1,contracts,50,do you both want to do 100,3,2,1,7,2,0
091023_1009,1,contracts,50,if you want,9,2,2,6,2,0
091023_1009,1,contracts,50,fair?,3,2,1,2,2,0
091023_1009,1,contracts,50,okay,9,2,2,2,2,0
091023_1009,1,contracts,51,yeah good idea,9,2,2,58,2,0
091023_1009,1,contracts,51,aw aren't we nice people,3,2,1,56,2,0
091023_1009,1,contracts,51,we will literally both get the same amount of money,9,2,2,53,2,0
091023_1009,1,contracts,51,we are brilliant people mind,9,2,2,46,2,0
091023_1009,1,contracts,51,lmao,9,2,2,44,2,0
091023_1009,1,contracts,51,so kind and sharing,9,2,2,41,2,0
091023_1009,1,contracts,51,haha and fair and honest,3,2,1,34,2,0
091023_1009,1,contracts,51,mayswell innit,9,2,2,27,2,0
091023_1009,1,contracts,51,if I was on a gameshow like golden balls,9,2,2,21,2,0
091023_1009,1,contracts,51,I'd cheat probs,9,2,2,18,2,0
091023_1009,1,contracts,51,hahaha,3,2,1,14,2,0
091023_1009,1,contracts,51,but like it's uni,9,2,2,14,2,0
091023_1009,1,contracts,51,and we're not gonna get thousands of pounds,9,2,2,9,2,0
091023_1009,1,contracts,52,i'd like to go on deal or no deal,3,2,1,56,2,0
091023_1009,1,contracts,52,it says £1 for every 50 000 ECU,9,2,2,49,2,0
091023_1009,1,contracts,52,we must have qutie a bit by now surely,9,2,2,45,2,0
091023_1009,1,contracts,52,*quite,9,2,2,39,2,0
091023_1009,1,contracts,52,i tried to keep count but gave up,3,2,1,35,2,0
091023_1009,1,contracts,52,oh yeahh we watch that in the flat all the time,9,2,2,28,2,0
091023_1009,1,contracts,52,is funny and easy way to get money,9,2,2,24,2,0
091023_1009,1,contracts,52,but,9,2,2,15,2,0
091023_1009,1,contracts,52,you have to lvie in a hotel for a month,9,2,2,10,2,0
091023_1009,1,contracts,52,"yeah, but i'd so accept the banker and not take the chance",3,2,1,9,2,0
091023_1009,1,contracts,52,to go on the show,9,2,2,8,2,0
091023_1009,1,contracts,52,yeah same ,9,2,2,3,2,0
091023_1009,1,contracts,53,this is like golden balls really though innit,9,2,2,54,2,0
091023_1009,1,contracts,53,have you seen it>?,9,2,2,51,2,0
091023_1009,1,contracts,53,i've never seen golden balls,3,2,1,47,2,0
091023_1009,1,contracts,53,oh lol it's so funny,9,2,2,42,2,0
091023_1009,1,contracts,53,is it good?,3,2,1,41,2,0
091023_1009,1,contracts,53,people have to lie about what balls tehy have for someone to choose tot ake them,9,2,2,31,2,0
091023_1009,1,contracts,53,when it first came out i thought it was about david beckham. i really don't know,3,2,1,22,2,0
091023_1009,1,contracts,53,and at the end they get a certain amount of money from the balls they each have ,9,2,2,18,2,0
091023_1009,1,contracts,53,sounds fun,3,2,1,2,2,0
091023_1009,1,contracts,30,hi,4,3,1,58,2,0
091023_1009,1,contracts,30,both type 100 each time will make most money!,10,3,2,47,2,0
091023_1009,1,contracts,30,if u like,10,3,2,39,2,0
091023_1009,1,contracts,30,i was going to propose keep it every time over 90,4,3,1,28,2,0
091023_1009,1,contracts,30,ok,10,3,2,23,2,0
091023_1009,1,contracts,30,sounds good,10,3,2,15,2,0
091023_1009,1,contracts,30,right,4,3,1,10,2,0
091023_1009,1,contracts,30,high prices is best for both,4,3,1,6,2,0
091023_1009,1,contracts,30,TRUE,10,3,2,1,2,0
091023_1009,1,contracts,31,hi again!,10,3,2,53,2,0
